contract_term_id,contract_id,term_sequence,effective_start_date,effective_end_date,term_length_months,payment_terms_days,overage_policy_type,volume_commitment_type,annual_subscription_fee,implementation_fee,support_tier,support_fee,transaction_fee_per_unit,committed_transaction_volume,ramp_discount_pct,renewal_uplift_pct,price_escalator_pct,termination_for_convenience_flag,price_hold_months,service_level_notes
374,183,1,2025-09-29,2026-09-28,12,30,none,none,152885.38,14031.37,enterprise,28948.7,,,13.54,6.65,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
375,183,2,2026-09-29,2027-09-28,12,30,none,none,159398.3,0.0,enterprise,30181.91,,,0.0,4.48,4.26,false,0,Custom onboarding and SLA language applied for rollout phases
376,183,3,2027-09-29,2028-09-28,12,45,none,none,168588.24,0.0,enterprise,31922.02,,,0.0,5.47,5.01,false,0,Custom onboarding and SLA language applied for rollout phases
377,183,4,2028-09-29,2029-09-28,12,45,none,none,166430.22,0.0,enterprise,31513.4,,,0.0,5.03,2.87,false,12,Custom onboarding and SLA language applied for rollout phases
378,184,1,2023-05-20,2024-05-19,12,30,per_unit_overage,ramp_commit,503446.02,126294.83,premium,69767.15,0.00976,2417879,5.07,6.62,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
379,184,2,2024-05-20,2025-05-19,12,30,true_up,hard_commit,528567.98,0.0,premium,73248.53,0.01025,2514594,0.0,4.05,4.99,false,0,Custom onboarding and SLA language applied for rollout phases
380,185,1,2023-09-08,2024-09-07,12,30,none,none,102715.57,23075.88,premium,13854.82,,,0.0,7.31,0.0,false,0,
381,186,1,2024-01-18,2025-01-17,12,45,none,none,308047.71,40328.7,enterprise,58233.78,,,4.06,4.56,0.0,false,0,
382,186,2,2025-01-18,2026-01-17,12,30,none,none,322957.22,0.0,enterprise,61052.29,,,0.0,4.16,4.84,false,0,Custom onboarding and SLA language applied for rollout phases
383,187,1,2023-05-08,2024-05-07,12,30,tiered_overage,ramp_commit,324768.33,41570.32,premium,44194.07,0.01031,6036339,13.25,4.24,0.0,false,6,
384,187,2,2024-05-08,2025-05-07,12,60,hard_cap,ramp_commit,339642.72,0.0,premium,46218.16,0.01078,6277792,0.0,6.97,4.58,true,0,
385,187,3,2025-05-08,2026-05-07,12,45,per_unit_overage,ramp_commit,353637.72,0.0,premium,48122.58,0.01123,6519246,0.0,7.58,4.35,true,12,Custom onboarding and SLA language applied for rollout phases
386,187,4,2026-05-08,2027-05-07,12,30,per_unit_overage,ramp_commit,374994.01,0.0,premium,51028.72,0.0119,6760699,0.0,7.26,4.91,true,0,Custom onboarding and SLA language applied for rollout phases
387,188,1,2025-01-13,2026-01-12,12,45,hard_cap,soft_commit,443900.99,53236.7,enterprise,84613.8,0.01096,6313364,0.0,4.1,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
388,189,1,2024-05-06,2025-05-05,12,30,none,none,549551.84,35929.24,premium,73733.31,,,0.0,7.41,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
389,190,1,2025-01-16,2026-01-15,12,30,none,none,353403.38,25658.98,standard,29589.17,,,13.57,5.27,0.0,true,12,Custom onboarding and SLA language applied for rollout phases
390,190,2,2026-01-16,2027-01-15,12,45,none,none,369483.23,0.0,standard,30935.48,,,0.0,4.4,4.55,true,12,Custom onboarding and SLA language applied for rollout phases
391,190,3,2027-01-16,2028-01-15,12,45,none,none,382682.27,0.0,standard,32040.58,,,0.0,7.66,4.06,true,0,Custom onboarding and SLA language applied for rollout phases
392,191,1,2024-12-30,2025-12-29,12,30,none,none,202060.98,16454.85,premium,27181.67,,,0.0,5.87,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
393,192,1,2025-12-26,2026-12-25,12,30,none,none,14986.6,5366.18,standard,1215.81,,,0.0,3.69,0.0,false,0,
394,193,1,2023-08-17,2024-08-16,12,30,none,none,454075.25,68403.88,premium,62323.43,,,0.0,3.77,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
395,194,1,2023-08-02,2024-08-01,12,30,hard_cap,soft_commit,805260.82,85071.38,standard,67880.56,0.01082,8122211,4.29,3.78,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
396,194,2,2024-08-02,2025-08-01,12,30,per_unit_overage,ramp_commit,839725.98,0.0,standard,70785.85,0.01128,8447099,0.0,6.58,4.28,false,6,Custom onboarding and SLA language applied for rollout phases
397,195,1,2025-07-18,2026-07-17,12,30,true_up,hard_commit,1282640.61,277768.86,enterprise,245532.09,0.0092,18379616,17.52,5.96,0.0,false,0,
398,195,2,2026-07-18,2027-07-17,12,45,tiered_overage,hard_commit,1352288.0,0.0,enterprise,258864.48,0.0097,19114800,0.0,5.72,5.43,true,0,Custom onboarding and SLA language applied for rollout phases
399,195,3,2027-07-18,2028-07-17,12,45,tiered_overage,hard_commit,1352048.0,0.0,enterprise,258818.54,0.0097,19849985,0.0,5.5,2.67,true,3,
400,196,1,2024-10-25,2025-10-24,12,45,none,none,24364.16,1993.99,standard,1968.87,,,0.0,5.69,0.0,false,3,
401,197,1,2024-12-22,2025-12-21,12,30,none,none,23435.4,1990.08,premium,3136.13,,,7.77,5.65,0.0,false,0,
402,197,2,2025-12-22,2026-12-21,12,30,none,none,24211.11,0.0,premium,3239.94,,,0.0,4.97,3.31,false,0,
403,197,3,2026-12-22,2027-12-21,12,30,none,none,24901.25,0.0,premium,3332.29,,,0.0,5.35,3.08,false,0,
404,198,1,2024-05-28,2025-05-27,12,30,none,none,24212.45,2000.38,standard,1973.28,,,0.0,5.39,0.0,false,3,
405,199,1,2023-09-25,2024-09-24,12,60,none,none,33400.14,2313.28,standard,2763.0,,,2.9,7.76,0.0,true,6,
406,199,2,2024-09-25,2025-09-24,12,45,none,none,34906.49,0.0,standard,2887.61,,,0.0,7.17,4.51,true,6,Custom onboarding and SLA language applied for rollout phases
407,200,1,2023-09-27,2024-09-26,12,30,none,none,268283.12,120134.09,standard,23159.64,,,21.24,5.91,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
408,200,2,2024-09-27,2025-09-26,12,30,none,none,277860.83,0.0,standard,23986.44,,,0.0,7.23,3.57,false,3,
409,200,3,2025-09-27,2026-09-26,12,60,none,none,285949.5,0.0,standard,24684.7,,,0.0,4.7,3.24,false,0,
410,200,4,2026-09-27,2027-09-26,12,45,none,none,311548.35,0.0,standard,26894.53,,,0.0,5.1,5.11,false,6,
411,201,1,2025-11-09,2026-11-08,12,30,none,none,307352.43,41751.17,premium,42860.55,,,20.12,6.27,0.0,false,0,
412,201,2,2026-11-09,2027-11-08,12,45,none,none,316511.53,0.0,premium,44137.79,,,0.0,4.23,2.98,true,6,Custom onboarding and SLA language applied for rollout phases
413,201,3,2027-11-09,2028-11-08,12,90,none,none,329561.79,0.0,premium,45957.66,,,0.0,5.78,3.55,true,6,Custom onboarding and SLA language applied for rollout phases
414,202,1,2024-12-20,2025-12-19,12,30,none,none,316318.88,41985.39,premium,43745.22,,,17.29,5.4,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
415,202,2,2025-12-20,2026-12-19,12,45,none,none,325049.28,0.0,premium,44952.59,,,0.0,4.94,2.76,true,6,
416,202,3,2026-12-20,2027-12-19,12,30,none,none,333695.67,0.0,premium,46148.34,,,0.0,4.1,2.71,true,6,Custom onboarding and SLA language applied for rollout phases
417,203,1,2024-07-06,2025-07-05,12,90,per_unit_overage,soft_commit,93230.11,21799.97,standard,7701.32,0.01004,1342737,0.0,6.33,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
418,204,1,2025-09-25,2026-09-24,12,30,none,none,82483.28,9622.44,standard,6792.98,,,0.0,4.28,0.0,false,0,
419,205,1,2024-02-15,2025-02-14,12,30,none,none,1291060.55,129063.09,premium,177132.02,,,4.4,5.78,0.0,false,0,
420,205,2,2025-02-15,2026-02-14,12,30,none,none,1322949.75,0.0,premium,181507.18,,,0.0,3.64,2.47,false,0,
421,206,1,2023-10-09,2024-10-08,12,30,none,none,1002156.91,101551.77,premium,136628.02,,,3.96,5.42,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
422,206,2,2024-10-09,2025-10-08,12,90,none,none,1039637.58,0.0,premium,141737.91,,,0.0,3.84,3.74,false,12,Custom onboarding and SLA language applied for rollout phases
423,207,1,2024-06-06,2025-06-05,12,30,none,none,1614831.32,383529.45,enterprise,323975.29,,,24.0,7.82,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
424,207,2,2025-06-06,2026-06-05,12,30,none,none,1686691.31,0.0,enterprise,338392.19,,,0.0,4.14,4.45,false,6,Custom onboarding and SLA language applied for rollout phases
425,207,3,2026-06-06,2027-06-05,12,60,none,none,1699894.17,0.0,enterprise,341041.01,,,0.0,3.84,2.6,true,0,Custom onboarding and SLA language applied for rollout phases
426,207,4,2027-06-06,2028-06-05,12,30,none,none,1812800.22,0.0,enterprise,363692.77,,,0.0,7.27,3.93,true,3,Custom onboarding and SLA language applied for rollout phases
427,207,5,2028-06-06,2029-06-05,12,30,none,none,1941984.23,0.0,enterprise,389610.29,,,0.0,6.43,4.72,false,6,Custom onboarding and SLA language applied for rollout phases
428,208,1,2023-03-15,2024-03-14,12,60,none,none,812812.96,87698.45,enterprise,155700.41,,,18.05,5.03,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
429,208,2,2024-03-15,2025-03-14,12,30,none,none,836465.82,0.0,enterprise,160231.29,,,0.0,3.52,2.91,false,6,Custom onboarding and SLA language applied for rollout phases
430,208,3,2025-03-15,2026-03-14,12,90,none,none,883878.69,0.0,enterprise,169313.58,,,0.0,6.12,4.28,false,12,
431,209,1,2025-04-19,2026-04-18,12,60,none,none,591814.01,67541.63,premium,81978.63,,,5.04,5.07,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
432,209,2,2026-04-19,2027-04-18,12,30,none,none,624363.78,0.0,premium,86487.45,,,0.0,6.19,5.5,true,6,Custom onboarding and SLA language applied for rollout phases
433,210,1,2025-08-08,2026-08-07,12,30,none,none,564996.14,62962.6,premium,77046.98,,,0.0,3.59,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
434,211,1,2023-04-18,2024-04-17,12,30,none,none,14048.2,5289.81,standard,1150.51,0.01113,83027,2.1,4.09,0.0,false,0,
435,211,2,2024-04-18,2025-04-17,12,30,none,none,14646.65,0.0,standard,1199.52,0.0116,86348,0.0,4.13,4.26,false,0,
436,212,1,2023-06-20,2024-06-19,12,60,per_unit_overage,hard_commit,280182.58,20985.2,standard,23249.33,0.01082,5252143,3.14,7.45,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
437,212,2,2024-06-20,2025-06-19,12,30,tiered_overage,soft_commit,294724.06,0.0,standard,24455.97,0.01138,5462228,0.0,5.93,5.19,true,6,Custom onboarding and SLA language applied for rollout phases
438,213,1,2025-08-16,2026-08-15,12,30,none,none,371425.41,26497.66,premium,50346.92,,,0.0,5.93,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
439,214,1,2023-02-21,2024-02-20,12,30,none,none,46057.57,5651.63,standard,3746.44,0.01045,338721,0.0,6.73,0.0,false,3,
440,215,1,2025-11-08,2026-11-07,12,30,none,none,1540933.67,143026.12,enterprise,286128.94,,,2.71,3.51,0.0,true,12,Custom onboarding and SLA language applied for rollout phases
441,215,2,2026-11-08,2027-11-07,12,30,none,none,1600413.71,0.0,enterprise,297173.52,,,0.0,7.9,3.86,true,0,Custom onboarding and SLA language applied for rollout phases
442,216,1,2024-10-27,2025-10-26,12,30,none,none,656347.59,69665.91,enterprise,122833.07,0.01116,5586617,0.0,3.8,0.0,false,0,
443,217,1,2024-11-03,2025-11-02,12,30,none,none,1512909.42,149878.25,enterprise,288074.54,,,4.56,4.0,0.0,true,12,Custom onboarding and SLA language applied for rollout phases
444,217,2,2025-11-03,2026-11-02,12,90,none,none,1577964.53,0.0,enterprise,300461.75,,,0.0,4.4,4.3,false,12,Custom onboarding and SLA language applied for rollout phases
445,218,1,2023-11-08,2024-11-07,12,30,none,none,552117.11,38999.52,enterprise,106012.78,,,18.82,5.69,0.0,false,0,
446,218,2,2024-11-08,2025-11-07,12,30,none,none,565975.25,0.0,enterprise,108673.7,,,0.0,6.3,2.51,false,0,
447,218,3,2025-11-08,2026-11-07,12,30,none,none,585172.5,0.0,enterprise,112359.79,,,0.0,6.44,2.95,false,0,
448,219,1,2023-12-09,2024-12-08,12,30,none,none,37177.28,2372.35,premium,4877.55,0.01022,168780,0.0,4.95,0.0,false,0,
449,220,1,2025-03-23,2026-03-22,12,30,none,none,20164.46,1872.08,standard,1634.62,,,0.0,7.16,0.0,false,3,
450,221,1,2025-05-21,2026-05-20,12,30,tiered_overage,hard_commit,568713.69,66846.33,premium,79606.6,0.0097,10457680,20.1,6.78,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
451,221,2,2026-05-21,2027-05-20,12,45,tiered_overage,hard_commit,588049.96,0.0,premium,82313.22,0.01003,10875987,0.0,3.88,3.4,true,0,Custom onboarding and SLA language applied for rollout phases
452,221,3,2027-05-21,2028-05-20,12,30,per_unit_overage,hard_commit,607573.3,0.0,premium,85046.04,0.01036,11294294,0.0,6.19,3.36,false,3,
453,222,1,2024-09-17,2025-09-16,12,45,none,none,1558867.48,153617.57,premium,214139.01,,,4.49,6.57,0.0,false,0,
454,222,2,2025-09-17,2026-09-16,12,30,none,none,1634784.33,0.0,premium,224567.58,,,0.0,7.32,4.87,false,6,Custom onboarding and SLA language applied for rollout phases
455,223,1,2025-06-21,2026-06-20,12,90,none,none,419934.63,51517.3,enterprise,80417.25,,,17.07,7.09,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
456,223,2,2026-06-21,2027-06-20,12,30,none,none,434716.33,0.0,enterprise,83247.94,,,0.0,7.5,3.52,true,3,Custom onboarding and SLA language applied for rollout phases
457,223,3,2027-06-21,2028-06-20,12,60,none,none,446547.33,0.0,enterprise,85513.57,,,0.0,4.05,3.12,false,12,
458,224,1,2024-08-31,2025-08-30,12,45,tiered_overage,ramp_commit,130988.71,54778.72,premium,18679.69,0.01097,2100176,24.0,6.28,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
459,224,2,2025-08-31,2026-08-30,12,90,true_up,ramp_commit,137118.98,0.0,premium,19553.9,0.01148,2184183,0.0,5.98,4.68,false,3,Custom onboarding and SLA language applied for rollout phases
460,224,3,2026-08-31,2027-08-30,12,45,tiered_overage,hard_commit,142988.2,0.0,premium,20390.88,0.01197,2268190,0.0,4.6,4.48,false,12,Custom onboarding and SLA language applied for rollout phases
461,224,4,2027-08-31,2028-08-30,12,30,per_unit_overage,ramp_commit,146707.86,0.0,premium,20921.32,0.01229,2352197,0.0,3.97,3.85,false,0,Custom onboarding and SLA language applied for rollout phases
462,224,5,2028-08-31,2029-08-30,12,30,true_up,soft_commit,145038.95,0.0,premium,20683.33,0.01215,2436204,0.0,5.49,2.58,false,12,
463,225,1,2024-11-26,2025-11-25,12,30,per_unit_overage,hard_commit,131310.71,13153.66,premium,18336.17,0.00923,1792460,19.92,4.88,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
464,225,2,2025-11-26,2026-11-25,12,45,per_unit_overage,soft_commit,138388.36,0.0,premium,19324.49,0.00973,1864158,0.0,4.53,5.39,false,6,
465,225,3,2026-11-26,2027-11-25,12,90,hard_cap,hard_commit,140989.68,0.0,premium,19687.74,0.00991,1935856,0.0,5.96,3.62,true,6,Custom onboarding and SLA language applied for rollout phases
466,225,4,2027-11-26,2028-11-25,12,60,true_up,ramp_commit,145755.39,0.0,premium,20353.22,0.01025,2007555,0.0,7.8,3.54,true,12,Custom onboarding and SLA language applied for rollout phases
467,225,5,2028-11-26,2029-11-25,12,60,tiered_overage,hard_commit,153319.76,0.0,premium,21409.5,0.01078,2079253,0.0,7.03,3.95,true,3,Custom onboarding and SLA language applied for rollout phases
468,226,1,2024-08-27,2025-08-26,12,45,none,none,29305.06,6764.26,standard,2400.36,,,6.23,6.46,0.0,false,3,Custom onboarding and SLA language applied for rollout phases
469,226,2,2025-08-27,2026-08-26,12,30,none,none,30275.06,0.0,standard,2479.81,,,0.0,6.6,3.31,false,0,Custom onboarding and SLA language applied for rollout phases
470,226,3,2026-08-27,2027-08-26,12,90,none,none,32364.24,0.0,standard,2650.94,,,0.0,4.01,5.09,false,6,Custom onboarding and SLA language applied for rollout phases
471,227,1,2025-04-08,2026-04-07,12,30,none,none,36978.29,7589.85,premium,4973.92,,,2.95,3.34,0.0,false,3,
472,227,2,2026-04-08,2027-04-07,12,30,none,none,38823.51,0.0,premium,5222.12,,,0.0,4.2,4.99,false,0,
473,228,1,2026-01-15,2027-01-14,12,30,none,none,21415.14,1914.61,standard,1744.4,,,0.0,5.73,0.0,false,0,
474,229,1,2023-04-07,2024-04-06,12,30,none,none,28880.19,2114.61,premium,3761.19,0.01243,61837,0.0,5.9,0.0,false,0,
475,230,1,2025-06-03,2026-06-02,12,30,none,none,27624.6,2114.48,standard,2265.25,,,0.0,3.09,0.0,false,0,
476,231,1,2025-04-11,2026-04-10,12,30,none,soft_commit,49353.44,7873.1,premium,6739.17,0.01172,572174,13.47,3.46,0.0,false,0,
477,231,2,2026-04-11,2027-04-10,12,30,none,soft_commit,50710.66,0.0,premium,6924.5,0.01204,595060,0.0,6.12,2.75,false,0,
478,231,3,2027-04-11,2028-04-10,12,30,none,none,51639.71,0.0,premium,7051.36,0.01226,617947,0.0,7.44,2.29,false,0,
479,232,1,2023-11-30,2024-11-29,12,45,per_unit_overage,ramp_commit,54606.41,8117.91,standard,4538.5,0.01168,442873,3.26,7.31,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
480,232,2,2024-11-30,2025-11-29,12,60,per_unit_overage,ramp_commit,56697.84,0.0,standard,4712.32,0.01213,460587,0.0,3.63,3.83,false,12,Custom onboarding and SLA language applied for rollout phases
481,233,1,2023-09-06,2024-09-05,12,30,none,none,87300.7,9784.47,standard,7118.46,,,0.0,3.78,0.0,false,3,
482,234,1,2025-01-13,2026-01-12,12,30,none,soft_commit,55664.8,8107.72,standard,4570.86,0.01018,885076,0.0,4.51,0.0,false,0,
483,235,1,2025-11-21,2026-11-20,12,45,none,none,70334.15,8891.61,premium,9351.81,,,2.02,3.84,0.0,false,0,
484,235,2,2026-11-21,2027-11-20,12,30,none,none,72774.75,0.0,premium,9676.32,,,0.0,5.11,3.47,false,0,
485,236,1,2025-07-08,2026-07-07,12,30,none,none,21432.77,1922.04,standard,1756.98,,,0.0,6.93,0.0,false,0,
486,237,1,2023-05-21,2024-05-20,12,30,none,none,182130.59,34169.72,premium,25188.65,,,16.64,5.03,0.0,false,0,
487,237,2,2024-05-21,2025-05-20,12,30,none,none,188614.44,0.0,premium,26085.37,,,0.0,3.11,3.56,false,0,
488,237,3,2025-05-21,2026-05-20,12,30,none,none,197485.24,0.0,premium,27312.2,,,0.0,7.49,4.13,false,0,
489,238,1,2024-05-08,2025-05-07,12,30,none,none,429166.24,30727.61,enterprise,81598.69,,,4.46,7.49,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
490,238,2,2025-05-08,2026-05-07,12,90,none,none,449508.72,0.0,enterprise,85466.47,,,0.0,3.93,4.74,false,0,Custom onboarding and SLA language applied for rollout phases
491,239,1,2024-03-09,2025-03-08,12,45,per_unit_overage,hard_commit,269113.11,21393.08,premium,37202.84,0.01044,2559093,17.18,7.63,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
492,239,2,2025-03-09,2026-03-08,12,90,per_unit_overage,ramp_commit,282972.44,0.0,premium,39118.79,0.01098,2661456,0.0,5.62,5.15,true,0,
493,239,3,2026-03-09,2027-03-08,12,60,per_unit_overage,ramp_commit,283509.84,0.0,premium,39193.08,0.011,2763820,0.0,4.71,2.64,false,0,Custom onboarding and SLA language applied for rollout phases
494,240,1,2025-03-29,2026-03-28,12,30,none,none,237689.71,109085.03,premium,32964.13,,,5.12,4.81,0.0,false,3,
495,240,2,2026-03-29,2027-03-28,12,30,none,none,246199.0,0.0,premium,34144.25,,,0.0,3.36,3.58,false,0,
496,241,1,2023-07-14,2024-07-13,12,90,tiered_overage,hard_commit,165700.03,15535.85,premium,23335.66,0.00965,4833572,6.08,6.94,0.0,true,0,
497,241,2,2024-07-14,2025-07-13,12,60,tiered_overage,ramp_commit,173554.21,0.0,premium,24441.77,0.01011,5026914,0.0,3.95,4.74,true,0,Custom onboarding and SLA language applied for rollout phases
498,242,1,2023-06-02,2024-06-01,12,90,hard_cap,soft_commit,636101.54,220135.18,premium,87431.24,0.00961,1065525,4.53,7.45,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
499,242,2,2024-06-02,2025-06-01,12,30,per_unit_overage,soft_commit,654230.43,0.0,premium,89923.03,0.00988,1108146,0.0,5.01,2.85,false,6,Custom onboarding and SLA language applied for rollout phases
500,243,1,2023-11-11,2024-11-10,12,30,none,none,579114.98,39229.76,enterprise,109511.42,,,4.08,5.81,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
501,243,2,2024-11-11,2025-11-10,12,30,none,none,607954.91,0.0,enterprise,114965.09,,,0.0,7.92,4.98,false,0,Custom onboarding and SLA language applied for rollout phases
502,244,1,2026-01-30,2027-01-29,12,45,per_unit_overage,soft_commit,438950.35,52320.68,enterprise,83290.2,0.01048,1842344,15.65,6.62,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
503,244,2,2027-01-30,2028-01-29,12,30,tiered_overage,ramp_commit,463092.62,0.0,enterprise,87871.16,0.01106,1916037,0.0,7.69,5.5,false,0,
504,244,3,2028-01-30,2029-01-29,12,60,hard_cap,hard_commit,487729.5,0.0,enterprise,92545.97,0.01164,1989731,0.0,6.06,5.41,true,0,
505,245,1,2025-07-18,2026-07-17,12,30,none,none,19025.07,1845.48,premium,2528.79,,,1.99,7.19,0.0,false,0,
506,245,2,2026-07-18,2027-07-17,12,30,none,none,19749.93,0.0,premium,2625.14,,,0.0,5.73,3.81,false,3,
507,246,1,2025-10-12,2026-10-11,12,30,tiered_overage,hard_commit,31375.88,2232.33,standard,2574.74,0.01106,273541,2.26,7.49,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
508,246,2,2026-10-12,2027-10-11,12,30,per_unit_overage,hard_commit,32737.59,0.0,standard,2686.48,0.01154,284482,0.0,5.04,4.34,false,0,Custom onboarding and SLA language applied for rollout phases
509,247,1,2025-03-12,2026-03-11,12,45,true_up,hard_commit,21221.94,4083.18,standard,1749.12,0.01284,333822,2.61,4.51,0.0,false,0,
510,247,2,2026-03-12,2027-03-11,12,30,tiered_overage,ramp_commit,22287.28,0.0,standard,1836.93,0.01348,347174,0.0,5.75,5.02,false,0,Custom onboarding and SLA language applied for rollout phases
511,248,1,2025-05-10,2026-05-09,12,30,none,none,100019.73,10582.56,standard,8224.93,,,2.43,7.21,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
512,248,2,2026-05-10,2027-05-09,12,45,none,none,104120.54,0.0,standard,8562.15,,,0.0,6.06,4.1,false,0,Custom onboarding and SLA language applied for rollout phases
513,249,1,2025-10-16,2026-10-15,12,30,per_unit_overage,soft_commit,222537.54,33805.82,standard,19108.63,0.00933,1147712,5.51,6.19,0.0,false,3,Custom onboarding and SLA language applied for rollout phases
514,249,2,2026-10-16,2027-10-15,12,60,tiered_overage,ramp_commit,234354.28,0.0,standard,20123.3,0.00983,1193620,0.0,3.89,5.31,true,0,Custom onboarding and SLA language applied for rollout phases
515,250,1,2023-07-07,2024-07-06,12,30,none,none,474783.61,33963.25,premium,65617.89,,,16.86,3.96,0.0,false,0,
516,250,2,2024-07-07,2025-07-06,12,30,none,none,496813.57,0.0,premium,68662.56,,,0.0,5.91,4.64,false,0,
517,250,3,2025-07-07,2026-07-06,12,30,none,none,504382.8,0.0,premium,69708.67,,,0.0,4.47,3.07,false,0,
518,251,1,2025-07-12,2026-07-11,12,30,none,none,407986.52,49032.8,premium,55606.91,,,12.98,7.02,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
519,251,2,2026-07-12,2027-07-11,12,30,none,none,430262.58,0.0,premium,58643.05,,,0.0,3.52,5.46,false,0,Custom onboarding and SLA language applied for rollout phases
520,251,3,2027-07-12,2028-07-11,12,30,none,none,443657.53,0.0,premium,60468.72,,,0.0,6.15,4.28,false,6,Custom onboarding and SLA language applied for rollout phases
521,252,1,2025-08-25,2026-08-24,12,30,none,none,23710.91,1978.34,standard,1921.99,,,0.0,4.57,0.0,false,0,
522,253,1,2025-01-05,2026-01-04,12,30,per_unit_overage,none,16888.33,1779.9,standard,1381.86,0.01163,117058,2.02,3.94,0.0,false,0,
523,253,2,2026-01-05,2027-01-04,12,30,none,none,17602.71,0.0,standard,1440.31,0.01212,121740,0.0,3.71,4.23,false,0,
524,254,1,2024-05-02,2025-05-01,12,30,none,none,23883.48,1995.72,premium,3176.09,,,0.0,4.88,0.0,false,0,
525,255,1,2025-10-06,2026-10-05,12,60,none,none,16048.99,1748.89,premium,2114.9,,,0.0,5.17,0.0,false,12,
526,256,1,2025-08-25,2026-08-24,12,30,none,none,2083532.05,684272.86,enterprise,410146.04,,,23.96,7.65,0.0,false,12,
527,256,2,2026-08-25,2027-08-24,12,45,none,none,2149163.31,0.0,enterprise,423065.64,,,0.0,7.41,3.15,true,6,Custom onboarding and SLA language applied for rollout phases
528,256,3,2027-08-25,2028-08-24,12,90,none,none,2292720.75,0.0,enterprise,451325.11,,,0.0,5.95,4.9,false,0,
529,257,1,2024-10-13,2025-10-12,12,30,none,none,846646.78,95031.18,premium,119520.07,,,6.22,5.27,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
530,257,2,2025-10-13,2026-10-12,12,60,none,none,888301.8,0.0,premium,125400.46,,,0.0,4.33,4.92,false,3,Custom onboarding and SLA language applied for rollout phases
531,258,1,2024-03-17,2025-03-16,12,30,none,none,26186.62,2062.91,standard,2137.58,,,0.0,6.01,0.0,false,0,
532,259,1,2023-03-18,2024-03-17,12,30,none,none,33752.23,2258.44,standard,2708.68,0.01124,195852,0.0,6.34,0.0,false,0,
533,260,1,2024-11-11,2025-11-10,12,60,tiered_overage,hard_commit,30281.01,20974.06,premium,4064.22,0.01104,735219,0.0,7.36,0.0,false,0,
534,261,1,2025-07-26,2026-07-25,12,30,none,soft_commit,97315.46,10582.97,premium,13159.4,0.00987,759918,0.0,6.87,0.0,false,0,
535,262,1,2023-07-03,2024-07-02,12,30,none,soft_commit,37744.43,15152.1,standard,3115.72,0.01171,936579,8.71,3.34,0.0,false,0,
536,262,2,2024-07-03,2025-07-02,12,30,per_unit_overage,none,39405.18,0.0,standard,3252.81,0.01223,974042,0.0,3.2,4.4,false,0,
537,262,3,2025-07-03,2026-07-02,12,30,per_unit_overage,none,40268.87,0.0,standard,3324.11,0.01249,1011505,0.0,7.0,3.29,false,0,
538,263,1,2024-11-22,2025-11-21,12,30,none,none,17448.59,1795.81,standard,1425.02,,,0.0,6.75,0.0,false,0,
539,264,1,2025-11-12,2026-11-11,12,30,none,none,30017.46,4694.78,premium,4042.71,0.01131,354625,3.05,7.27,0.0,false,0,
540,264,2,2026-11-12,2027-11-11,12,30,none,none,30899.97,0.0,premium,4161.57,0.01164,368810,0.0,6.89,2.94,false,0,
541,265,1,2025-01-03,2026-01-02,12,30,per_unit_overage,hard_commit,61407.16,8602.25,standard,5171.41,0.01178,330489,4.22,6.69,0.0,false,0,
542,265,2,2026-01-03,2027-01-02,12,30,tiered_overage,ramp_commit,64047.67,0.0,standard,5393.78,0.01229,343708,0.0,5.28,4.3,false,0,Custom onboarding and SLA language applied for rollout phases
543,266,1,2024-04-02,2025-04-01,12,90,none,none,247024.41,74517.29,premium,33820.84,,,14.36,4.23,0.0,false,0,
544,266,2,2025-04-02,2026-04-01,12,45,none,none,254311.63,0.0,premium,34818.55,,,0.0,7.05,2.95,false,0,Custom onboarding and SLA language applied for rollout phases
